city,num_posts
An Giang,97
Bà Rịa - Vũng Tàu,300
Bình Dương,1382
Bình Phước,147
Bình Thuận,61
Bình Định,75
Bạc Liêu,9
Bắc Giang,72
Bắc Kạn,7
Bắc Ninh,54
Bến Tre,32
Cao Bằng,2
Cà Mau,15
Cần Thơ,425
Gia Lai,159
Hà Giang,5
Hà Nam,28
Hà Nội,4789
Hà Tĩnh,41
Hòa Bình,21
Hưng Yên,33
Hải Dương,101
Hải Phòng,375
Hậu Giang,25
Khánh Hòa,112
Kiên Giang,29
Kon Tum,24
Lai Châu,2
Long An,69
Lào Cai,2
Lâm Đồng,265
Lạng Sơn,2
Nam Định,55
Nghệ An,191
Ninh Bình,46
Ninh Thuận,38
Phú Thọ,78
Phú Yên,27
Quảng Bình,19
Quảng Nam,96
Quảng Ngãi,28
Quảng Ninh,33
Quảng Trị,6
Sóc Trăng,17
Sơn La,4
Thanh Hóa,176
Thái Bình,79
Thái Nguyên,59
Thừa Thiên Huế,74
Tiền Giang,120
Tp Hồ Chí Minh,7486
Trà Vinh,9
Tuyên Quang,7
Tây Ninh,198
Vĩnh Long,49
Vĩnh Phúc,59
Yên Bái,8
Đà Nẵng,501
Đắk Lắk,449
Đắk Nông,53
Đồng Nai,856
Đồng Tháp,48
