brand,carmodel,mean_km,num_posts
Acura,CL,50277.5,2
Acura,Dòng khác,142283.5,2
Acura,Legend,100000.0,1
Acura,MDX,85370.14285714286,14
Acura,ZDX,183733.33333333334,3
Alfa Romeo,159,100000.0,1
Alfa Romeo,GT,686868.0,1
Alfa Romeo,Spider,95000.0,1
Asia,Dòng khác,38933.333333333336,3
Aston Martin,Dòng khác,110941.0,2
Audi,A1,80660.66666666667,3
Audi,A3,199991.0,3
Audi,A4,53606.166666666664,18
Audi,A5,55000.0,4
Audi,A6,65714.23809523809,21
Audi,A7,74800.0,5
Audi,A8,74571.71428571429,7
Audi,Cabriolet,630000.0,1
Audi,Dòng khác,46000.0,1
Audi,Q2,69500.0,2
Audi,Q3,56993.5,8
Audi,Q5,67932.75,20
Audi,Q7,74725.16216216216,37
Audi,Q8,14200.0,5
Audi,S8,12000.0,1
Audi,TT,73714.28571428571,7
BMW,1 Series,67259.8,5
BMW,2 Series,200000.0,1
BMW,3 Series,79358.98013245034,151
BMW,4 Series,45533.333333333336,15
BMW,5 Series,69289.72151898734,79
BMW,6 Series,55500.0,4
BMW,7 Series,70671.54166666667,24
BMW,Dòng khác,72759.64,25
BMW,M couper,68000.0,1
BMW,M3,63000.0,1
BMW,M4,100000.0,1
BMW,X1,67729.55555555556,27
BMW,X2,35000.0,1
BMW,X3,78277.77777777778,9
BMW,X4,77666.66666666667,3
BMW,X5,103294.05882352941,17
BMW,X6,79416.66666666667,12
BMW,X7,20000.0,1
BMW,Z4,5365.142857142857,7
BMW,i8,30000.0,1
BYD,Dòng khác,164327.0,2
Baic,Beijing X7,53600.0,10
Bentley,Bentayga,6000.0,1
Bentley,Continental,90446.8,5
Bentley,Flying Spur,55833.333333333336,6
Bentley,Mulsanne,55000.0,1
Buick,Dòng khác,55500.0,2
Cadillac,CTS,123569.0,1
Cadillac,Escalade,60000.0,1
Cadillac,SRX,408333.3333333333,3
Changan,Honor,100000.0,1
Chery,Dòng khác,50000.0,1
Chery,QQ3,471901.3333333333,3
Chevrolet,Aveo,88609.16666666667,42
Chevrolet,Camaro,40666.666666666664,3
Chevrolet,Captiva,124290.0,99
Chevrolet,Chevyvan,56.0,1
Chevrolet,Colorado,98674.29166666667,144
Chevrolet,Cruze,93219.61111111111,108
Chevrolet,Dòng khác,111800.0,5
Chevrolet,Lacetti,73511.88888888889,27
Chevrolet,Lumina,123456.0,1
Chevrolet,Matiz,56214.181818181816,11
Chevrolet,Orlando,51588.3,10
Chevrolet,Spark,92192.78723404255,235
Chevrolet,Trailblazer,52435.46,50
Chevrolet,Trax,45000.0,1
Chevrolet,Vivant,87959.69230769231,13
Chrysler,300C,130000.0,1
Chrysler,Dòng khác,60000.0,1
Chrysler,PTcruise,44000.0,1
Citroen,CX,12345.0,1
Citroen,Dòng khác,12266.0,1
Daewoo,Arcadia,4000.0,1
Daewoo,Cielo,156441.66666666666,6
Daewoo,Dòng khác,270543.0,8
Daewoo,Espero,56172.5,2
Daewoo,Gentra,85990.21621621621,37
Daewoo,GentraX,89522.14285714286,7
Daewoo,Karando,127000.0,1
Daewoo,Lacetti,131314.95238095237,105
Daewoo,Lanos,164986.29824561405,57
Daewoo,Leganza,113396.5,6
Daewoo,Magnus,96710.44444444444,18
Daewoo,Matiz,115404.58490566038,106
Daewoo,Nubira,130236.86363636363,44
Daewoo,Tico,1234.0,1
Daihatsu,Charade,20000.0,1
Daihatsu,Citivan,84111.0,9
Daihatsu,Dòng khác,52737.0,7
Daihatsu,Terios,63202.4,5
Dodge,Journey,138666.66666666666,3
Dodge,Ram,10000.0,1
