brand,carmodel,year,num_posts,VAMA,sell_ratio
Toyota,Vios,2020,151,30251,0.49915705265941623
Ford,Ranger,2021,116,15650,0.7412140575079872
Ford,Ranger,2020,114,13291,0.8577232713866525
Ford,Everest,2021,83,5485,1.513217866909754
Honda,CR V,2020,79,11365,0.6951165860096788
Ford,Ranger,2022,76,16447,0.46209035082385846
Mitsubishi,Xpander,2020,75,16844,0.4452624079791023
Toyota,Fortuner,2020,66,8512,0.775375939849624
Mitsubishi,Outlander,2021,63,2793,2.2556390977443606
Kia,Cerato,2020,56,12033,0.4653868528214078
Kia,Seltos,2021,55,16122,0.34114874085101105
Mazda,CX 5,2020,55,11803,0.4659832246039142
Honda,City,2021,55,9745,0.5643919958953308
Mitsubishi,Xpander,2021,54,13616,0.39659224441833135
Toyota,Vios,2021,54,19931,0.27093472480056197
Toyota,Camry,2021,53,4206,1.2601046124583928
Toyota,Corolla Cross,2021,53,18411,0.2878713812394764
Mitsubishi,Attrage,2021,51,6075,0.8395061728395061
Kia,Sedona,2020,51,1961,2.6007139214686386
Ford,Everest,2020,50,5902,0.8471704506946797
Toyota,Fortuner,2022,47,7653,0.6141382464393048
Mitsubishi,Outlander,2020,46,3969,1.1589821113630638
Honda,City,2022,46,14696,0.3130103429504627
Honda,City,2020,45,5589,0.8051529790660225
Mitsubishi,Triton,2021,44,3683,1.1946782514254684
Toyota,Corolla Cross,2020,43,5916,0.7268424611223799
Honda,Civic,2021,41,1948,2.1047227926078027
Toyota,Vios,2022,41,23529,0.174253049428365
Toyota,Corolla Cross,2022,41,21473,0.19093745634052064
Toyota,Veloz,2022,40,14104,0.28360748723766305
Honda,Civic,2020,40,2478,1.6142050040355123
Toyota,Fortuner,2021,39,6352,0.6139798488664987
Kia,K3,2022,39,11404,0.34198526832690285
Mazda,3,2022,38,9812,0.38728088055442317
Mitsubishi,Xpander,2022,37,21983,0.168311877359778
Kia,Sportage,2022,37,3195,1.1580594679186227
Suzuki,XL 7,2022,35,6526,0.5363162733680662
Mazda,3,2020,34,9775,0.34782608695652173
Ford,EcoSport,2020,32,2813,1.1375755421258442
Kia,Seltos,2020,32,6065,0.5276174773289366
Toyota,Camry,2020,32,5406,0.5919348871624122
Kia,Carnival,2022,32,9320,0.34334763948497854
Mitsubishi,Outlander,2022,32,4725,0.6772486772486773
Mazda,3,2021,30,5333,0.562535158447403
Honda,CR V,2022,29,9578,0.3027771977448319
Toyota,Innova,2020,28,5423,0.5163193804167435
Honda,Brio,2020,27,2906,0.9291121816930488
Suzuki,XL 7,2021,27,5175,0.5217391304347827
Mazda,CX-30,2021,26,867,2.9988465974625145
Toyota,Camry,2022,25,4471,0.5591590248266607
Kia,Cerato,2021,24,10505,0.22846263683960016
Mitsubishi,Pajero Sport,2021,24,1076,2.2304832713754648
Mazda,CX 5,2022,24,12700,0.1889763779527559
Kia,Sonet,2022,23,9446,0.24348930764344695
Mitsubishi,Attrage,2022,23,7214,0.318824507901303
Mazda,CX 5,2021,22,10230,0.21505376344086022
Honda,CR V,2021,22,5854,0.37581141100102494
Kia,Seltos,2022,22,12398,0.17744797547991611
Kia,Soluto,2020,21,8334,0.25197984161267095
Kia,K5,2022,21,1710,1.2280701754385965
